entity,n-authors,n-revs
builtin/providers/aws/resource_aws_alb_listener_rule.go,5,7
builtin/providers/google/resource_sql_user.go,5,7
builtin/providers/aws/resource_aws_redshift_parameter_group.go,5,6
builtin/providers/google/resource_storage_bucket_acl.go,5,6
helper/logging/logging.go,5,6
scripts/gofmtcheck.sh,5,6
builtin/providers/aws/tagsEC.go,5,6
builtin/providers/aws/resource_aws_iam_group_policy.go,5,6
examples/aws-rds/main.tf,5,6
builtin/providers/aws/resource_aws_api_gateway_resource.go,5,6
builtin/providers/mailgun/provider.go,5,6
backend/remote-state/swift/backend_state.go,5,6
builtin/providers/aws/resource_aws_instance_migrate.go,5,6
terraform/valuesourcetype_string.go,5,6
builtin/providers/aws/data_source_aws_cloudformation_stack.go,5,6
config/module/inode.go,5,6
helper/hashcode/hashcode.go,5,6
builtin/providers/aws/resource_aws_iam_user_policy.go,5,6
builtin/providers/azurerm/tags.go,5,5
builtin/providers/aws/conversions.go,5,5
builtin/providers/terraform/test-fixtures/basic.tfstate,5,5
builtin/providers/dme/resource_dme_record.go,5,5
builtin/providers/google/resource_compute_instance_migrate.go,5,5
examples/gce-vpn/vpn.tf,5,5
builtin/providers/google/resource_compute_image.go,5,5
examples/google-two-tier/variables.tf,5,5
terraform/user_agent.go,5,5
examples/aws-s3-cross-account-access/main.tf,5,5
examples/aws-elb/main.tf,5,5
examples/digitalocean/main.tf,5,5
builtin/providers/dnsimple/provider.go,5,5
examples/aws-count/variables.tf,5,5
builtin/providers/template/datasource_cloudinit_config.go,5,5
examples/consul/variables.tf,5,5
builtin/providers/azurerm/resource_arm_storage_queue.go,5,5
builtin/providers/google/dns_change.go,5,5
builtin/providers/template/provider.go,5,5
examples/aws-asg/main.tf,5,5
help.go,5,5
examples/digitalocean/variable.tf,5,5
builtin/providers/docker/resource_docker_image.go,5,5
terraform/node_resource_apply.go,4,56
terraform/transform_reference.go,4,49
terraform/transform_destroy_edge.go,4,45
providers/provider.go,4,36
builtin/providers/aws/resource_provider.go,4,34
configs/resource.go,4,32
helper/schema/core_schema.go,4,31
terraform/transform_diff.go,4,29
command/state_meta.go,4,29
terraform/state_add.go,4,28
terraform/graph_builder_destroy_plan.go,4,27
terraform/transform_destroy_cbd.go,4,27
dag/dag.go,4,26
config/module/get.go,4,26
terraform/node_output.go,4,26
backend/local/backend_refresh.go,4,25
builtin/providers/openstack/types.go,4,25
backend/remote/backend_common.go,4,23
builtin/providers/cloudstack/resource_cloudstack_port_forward.go,4,23
terraform/node_resource_plan_orphan.go,4,22
terraform/hook_mock.go,4,21
terraform/graph_config_node_module.go,4,21
